   x   |    y   |    f
.9160  | .1230  | 1.9747
.9160  | .1245  | 1.9755
.9160  | .1260  | 1.9763
.9160  | .1275  | 1.9771
.9160  | .1290  | 1.9779
.9160  | .1305  | 1.9788
.9160  | .1320  | 1.9796
.9160  | .1335  | 1.9804
.9160  | .1350  | 1.9812
.9160  | .1365  | 1.9819
.9160  | .1380  | 1.9827
.9160  | .1395  | 1.9835
.9160  | .1410  | 1.9843
.9160  | .1425  | 1.9851
.9160  | .1440  | 1.9859
.9160  | .1455  | 1.9867
.9160  | .1470  | 1.9875
.9160  | .1485  | 1.9883
.9160  | .1500  | 1.9890
.9160  | .1515  | 1.9898
.9160  | .1530  | 1.9906
.9160  | .1545  | 1.9914
.9160  | .1560  | 1.9921
.9160  | .1575  | 1.9929
.9160  | .1590  | 1.9937
.9160  | .1605  | 1.9944
.9160  | .1620  | 1.9952
.9160  | .1635  | 1.9960
.9160  | .1650  | 1.9967
.9160  | .1665  | 1.9975
.9160  | .1680  | 1.9983
.9160  | .1695  | 1.9990
.9160  | .1710  | 1.9998
.9160  | .1725  | 2.0005
.9160  | .1740  | 2.0013
.9160  | .1755  | 2.0020
.9160  | .1770  | 2.0028
.9160  | .1785  | 2.0035
.9160  | .1800  | 2.0043
.9160  | .1815  | 2.0050
.9160  | .1830  | 2.0058
.9160  | .1845  | 2.0065
.9160  | .1860  | 2.0073
.9160  | .1875  | 2.0080
.9160  | .1890  | 2.0087
.9160  | .1905  | 2.0095
.9160  | .1920  | 2.0102
.9160  | .1935  | 2.0109
.9160  | .1950  | 2.0117
.9160  | .1965  | 2.0124
.9160  | .1980  | 2.0131
.9160  | .1995  | 2.0139
.9160  | .2010  | 2.0146
.9160  | .2025  | 2.0153
.9160  | .2040  | 2.0160
.9160  | .2055  | 2.0168
.9160  | .2070  | 2.0175
.9160  | .2085  | 2.0182
.9160  | .2100  | 2.0189
.9160  | .2115  | 2.0196
.9160  | .2130  | 2.0203
.9160  | .2145  | 2.0210
.9160  | .2160  | 2.0218
.9160  | .2175  | 2.0225
.9160  | .2190  | 2.0232
.9160  | .2205  | 2.0239
.9160  | .2220  | 2.0246
.9160  | .2235  | 2.0253
.9160  | .2250  | 2.0260
.9160  | .2265  | 2.0267
.9160  | .2280  | 2.0274
.9160  | .2295  | 2.0281
.9160  | .2310  | 2.0288
.9160  | .2325  | 2.0295
.9160  | .2340  | 2.0302
.9160  | .2355  | 2.0309
.9160  | .2370  | 2.0315
.9160  | .2385  | 2.0322
.9160  | .2400  | 2.0329
.9160  | .2415  | 2.0336
.9160  | .2430  | 2.0343
.9144  | .1230  | 1.9651
.9144  | .1245  | 1.9659
.9144  | .1260  | 1.9667
.9144  | .1275  | 1.9675
.9144  | .1290  | 1.9683
.9144  | .1305  | 1.9692
.9144  | .1320  | 1.9700
.9144  | .1335  | 1.9708
.9144  | .1350  | 1.9716
.9144  | .1365  | 1.9724
.9144  | .1380  | 1.9732
.9144  | .1395  | 1.9740
.9144  | .1410  | 1.9748
.9144  | .1425  | 1.9756
.9144  | .1440  | 1.9764
.9144  | .1455  | 1.9772
.9144  | .1470  | 1.9780
.9144  | .1485  | 1.9788
.9144  | .1500  | 1.9796
.9144  | .1515  | 1.9803
.9144  | .1530  | 1.9811
.9144  | .1545  | 1.9819
.9144  | .1560  | 1.9827
.9144  | .1575  | 1.9835
.9144  | .1590  | 1.9843
.9144  | .1605  | 1.9850
.9144  | .1620  | 1.9858
.9144  | .1635  | 1.9866
.9144  | .1650  | 1.9874
.9144  | .1665  | 1.9881
.9144  | .1680  | 1.9889
