x1 = .9160
x2 = .8360
dx = -.0160

y1 = .1230
y2 = .2430
dy = .0150

   x   |    y   |    f
.9160  | .1230  | 1.4794
.9160  | .1380  | 1.4332
.9160  | .1530  | 1.3880
.9160  | .1680  | 1.3437
.9160  | .1830  | 1.3004
.9160  | .1980  | 1.2580
.9160  | .2130  | 1.2166
.9160  | .2280  | 1.1759
.9160  | .2430  | 1.1361
.9000  | .1230  | 1.3961
.9000  | .1380  | 1.3517
.9000  | .1530  | 1.3081
.9000  | .1680  | 1.2655
.9000  | .1830  | 1.2238
.9000  | .1980  | 1.1830
.9000  | .2130  | 1.1430
.9000  | .2280  | 1.1038
.9000  | .2430  | 1.0654
.8840  | .1230  | 1.3202
.8840  | .1380  | 1.2773
.8840  | .1530  | 1.2354
.8840  | .1680  | 1.1943
.8840  | .1830  | 1.1540
.8840  | .1980  | 1.1146
.8840  | .2130  | 1.0759
.8840  | .2280  | 1.0381
.8840  | .2430  | 1.0010
.8680  | .1230  | 1.2504
.8680  | .1380  | 1.2090
.8680  | .1530  | 1.1684
.8680  | .1680  | 1.1287
.8680  | .1830  | 1.0898
.8680  | .1980  | 1.0517
.8680  | .2130  | 1.0143
.8680  | .2280  | .9777
.8680  | .2430  | .9417
.8520  | .1230  | 1.1858
.8520  | .1380  | 1.1457
.8520  | .1530  | 1.1065
.8520  | .1680  | 1.0680
.8520  | .1830  | 1.0304
.8520  | .1980  | .9934
.8520  | .2130  | .9572
.8520  | .2280  | .9217
.8520  | .2430  | .8869
.8360  | .1230  | 1.1256
.8360  | .1380  | 1.0868
.8360  | .1530  | 1.0488
.8360  | .1680  | 1.0116
.8360  | .1830  | .9750
.8360  | .1980  | .9392
.8360  | .2130  | .9041
.8360  | .2280  | .8696
.8360  | .2430  | .8358
