p1      = 1.5000
p2      = 3.5000
delta_p = .1000
q1      = 2.0000
q2      = 10.0000
delta_q = 1.0000

   p   |    q   |    I
   1.50|    2.00| .3001
   1.50|    3.00| .3212
   1.50|    4.00| .3399
   1.50|    5.00| .3557
   1.50|    6.00| .3686
   1.50|    7.00| .3786
   1.50|    8.00| .3854
   1.50|    9.00| .3894
   1.50|   10.00| .3905
   1.60|    2.00| .3891
   1.60|    3.00| .3854
   1.60|    4.00| .3798
   1.60|    5.00| .3726
   1.60|    6.00| .3641
   1.60|    7.00| .3549
   1.60|    8.00| .3453
   1.60|    9.00| .3356
   1.60|   10.00| .3264
   1.70|    2.00| .3178
   1.70|    3.00| .3101
   1.70|    4.00| .3037
   1.70|    5.00| .2537
   1.70|    6.00| .2714
   1.70|    7.00| .2870
   1.70|    8.00| .3002
   1.70|    9.00| .3109
   1.70|   10.00| .3190
   1.80|    2.00| .3246
   1.80|    3.00| .3276
   1.80|    4.00| .3283
   1.80|    5.00| .3268
   1.80|    6.00| .3234
   1.80|    7.00| .3183
   1.80|    8.00| .3119
   1.80|    9.00| .3045
   1.80|   10.00| .2964
   1.90|    2.00| .2880
   1.90|    3.00| .2797
   1.90|    4.00| .2717
   1.90|    5.00| .2642
   1.90|    6.00| .2577
   1.90|    7.00| .2522
   1.90|    8.00| .2239
   1.90|    9.00| .2394
   1.90|   10.00| .2531
   2.00|    2.00| .2646
   2.00|    3.00| .2740
   2.00|    4.00| .2810
   2.00|    5.00| .2858
   2.00|    6.00| .2883
   2.00|    7.00| .2888
   2.00|    8.00| .2873
   2.00|    9.00| .2841
   2.00|   10.00| .2795
   2.10|    2.00| .2737
   2.10|    3.00| .2670
   2.10|    4.00| .2598
   2.10|    5.00| .2523
   2.10|    6.00| .2448
   2.10|    7.00| .2376
   2.10|    8.00| .2310
   2.10|    9.00| .2252
   2.10|   10.00| .2203
   2.20|    2.00| .2026
   2.20|    3.00| .2166
   2.20|    4.00| .2289
   2.20|    5.00| .2393
   2.20|    6.00| .2477
   2.20|    7.00| .2540
   2.20|    8.00| .2583
   2.20|    9.00| .2605
   2.20|   10.00| .2608
   2.30|    2.00| .2594
   2.30|    3.00| .2564
   2.30|    4.00| .2521
   2.30|    5.00| .2468
   2.30|    6.00| .2407
   2.30|    7.00| .2341
   2.30|    8.00| .2272
   2.30|    9.00| .2204
   2.30|   10.00| .2139
   2.40|    2.00| .2079
   2.40|    3.00| .2026
   2.40|    4.00| .1981
   2.40|    5.00| .1864
   2.40|    6.00| .1993
   2.40|    7.00| .2106
   2.40|    8.00| .2201
   2.40|    9.00| .2278
   2.40|   10.00| .2336
   2.50|    2.00| .2374
   2.50|    3.00| .2394
   2.50|    4.00| .2397
   2.50|    5.00| .2383
   2.50|    6.00| .2355
   2.50|    7.00| .2315
   2.50|    8.00| .2266
   2.50|    9.00| .2209
   2.50|   10.00| .2147
   2.60|    2.00| .2084
   2.60|    3.00| .2021
   2.60|    4.00| .1961
   2.60|    5.00| .1905
   2.60|    6.00| .1856
   2.60|    7.00| .1815
   2.60|    8.00| .1736
   2.60|    9.00| .1856
   2.60|   10.00| .1961
   2.70|    2.00| .2049
   2.70|    3.00| .2121
   2.70|    4.00| .2174
   2.70|    5.00| .2209
   2.70|    6.00| .2228
   2.70|    7.00| .2229
   2.70|    8.00| .2216
   2.70|    9.00| .2190
   2.70|   10.00| .2153
   2.80|    2.00| .2106
   2.80|    3.00| .2053
   2.80|    4.00| .1995
   2.80|    5.00| .1936
   2.80|    6.00| .1877
   2.80|    7.00| .1821
   2.80|    8.00| .1769
   2.80|    9.00| .1723
   2.80|   10.00| .1685
   2.90|    2.00| .1631
   2.90|    3.00| .1744
   2.90|    4.00| .1842
   2.90|    5.00| .1925
   2.90|    6.00| .1992
   2.90|    7.00| .2042
   2.90|    8.00| .2075
   2.90|    9.00| .2092
   2.90|   10.00| .2093
   3.00|    2.00| .2081
   3.00|    3.00| .2056
   3.00|    4.00| .2020
   3.00|    5.00| .1976
   3.00|    6.00| .1926
   3.00|    7.00| .1872
   3.00|    8.00| .1816
   3.00|    9.00| .1760
   3.00|   10.00| .1707
   3.10|    2.00| .1658
   3.10|    3.00| .1615
   3.10|    4.00| .1579
   3.10|    5.00| .1543
   3.10|    6.00| .1649
   3.10|    7.00| .1742
   3.10|    8.00| .1821
   3.10|    9.00| .1884
   3.10|   10.00| .1931
   3.20|    2.00| .1962
   3.20|    3.00| .1978
   3.20|    4.00| .1979
   3.20|    5.00| .1967
   3.20|    6.00| .1943
   3.20|    7.00| .1909
   3.20|    8.00| .1868
   3.20|    9.00| .1820
   3.20|   10.00| .1768
   3.30|    2.00| .1715
   3.30|    3.00| .1663
   3.30|    4.00| .1612
   3.30|    5.00| .1566
   3.30|    6.00| .1525
   3.30|    7.00| .1491
   3.30|    8.00| .1468
   3.30|    9.00| .1569
   3.30|   10.00| .1658
   3.40|    2.00| .1732
   3.40|    3.00| .1792
   3.40|    4.00| .1836
   3.40|    5.00| .1866
   3.40|    6.00| .1881
   3.40|    7.00| .1882
   3.40|    8.00| .1870
   3.40|    9.00| .1847
   3.40|   10.00| .1815
   3.50|    2.00| .1775
   3.50|    3.00| .1730
   3.50|    4.00| .1681
   3.50|    5.00| .1630
   3.50|    6.00| .1580
   3.50|    7.00| .1532
   3.50|    8.00| .1488
   3.50|    9.00| .1449
   3.50|   10.00| .1416
